# Started at: 2021-03-02 01:23:42 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=0_work_done --column=1_work_done --column=2_work_done --column=3_work_done --column=4_work_done --column=5_work_done --column=6_work_done --column=7_work_done --column=8_work_done --column=9_work_done --column=10_work_done --column=11_work_done --column=12_work_done --column=13_work_done --column=14_work_done --column=15_work_done --column=16_work_done --column=17_work_done --column=18_work_done --column=19_work_done --column=20_work_done --column=21_work_done '--sensor=/run/power Power uW' --output=/root/experiment5_out/Instance3/3/OPTIMAL_MEikLTF.json.yaml.csv -- demos-sched -c /root/experiment5/Instance3/OPTIMAL_MEikLTF.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,0_work_done,1_work_done,2_work_done,3_work_done,4_work_done,5_work_done,6_work_done,7_work_done,8_work_done,9_work_done,10_work_done,11_work_done,12_work_done,13_work_done,14_work_done,15_work_done,16_work_done,17_work_done,18_work_done,19_work_done,20_work_done,21_work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.08415,29700,30300,30300,29300,30100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,,,,,,,,,,,,,,,5.7958e+06,0,0,0,0,0,0
133.003,,,,,,,,,,,,,,63.33,59.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166.058,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
168.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
170.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
171.277,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
174.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
501.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
502.987,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
727.217,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
745.526,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
874.591,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
892.921,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
987.991,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
995.367,30500,31100,30700,29900,30500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,,,,,,,,,,,,,,,7.0368e+06,82,76.7677,66.3265,62.6263,6.12245,9.09091
1005.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
1053,,,,,,,,,,,,,,,,,,,,,,,,448,,,,,,,,,,,,,,,,,,,,
1053.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685,,,,,,,,,,,,,,
1053.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803,,,,,,,,
1053.16,,,,,,,,,,,,,,,,,,,539,,,,,,,,,,,,,,,,,,677,,,,,,,
1387.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,,,,,,,,,
1387.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,,,,,,,,,,,,,
