benchmark,ipsimxlow,ipsimxhigh,ipsimxblow,ipsimxbhigh,ipstxlow,ipstxhigh
a2time-4K,32612.423673768575,56012.335798688946,32392.466720951274,55925.01746608948,64788.86511631867,90732.48776772726
a2time-4M,32.10159716781787,54.597102673780576,31.594295155256503,54.51240330745413,58.045907928121274,117.38351858292798
aifirf-4K,3179.217556355342,8806.251084180622,3152.1537573053383,8800.540743038584,10512.202382350515,15104.388032635718
aifirf-4M,3.1118337852463274,8.750770614737261,3.0941446826425767,8.743126976159434,10.386635319289176,15.239056340623314
bitmnp-4K,11763.412319745046,24485.253853775186,11655.709788528418,24536.22268599553,27287.51655727213,47289.57916251991
bitmnp-4M,9.844230698134272,21.652390033609212,9.761152803724867,21.541788408765548,20.199688661458005,34.08150767512244
canrdr-4K,33409.004086958164,62938.09802662973,33078.73548937734,63262.987381231054,163382.50519027896,189621.55071905692
canrdr-4M,35.574430617561944,68.12068169140876,35.20040505810108,68.01731975607113,182.91159077406087,226.16485533246603
idctrn-4K,6966.355634806228,20301.26581558189,6914.018296227593,20269.733339383984,24190.641138403116,28626.422088756855
idctrn-4M,6.860659050756539,20.493198176503125,6.812828870152626,20.469020766241012,24.235553618015796,28.857141702953058
iirflt-4K,8253.335748777794,23629.724781021327,8178.397860731265,23748.03276144869,23785.58757314263,35237.472995596385
iirflt-4M,8.228420317158772,18.833389498312336,8.166007084664427,18.806409510487264,22.54348665409052,35.31187069895487
matrix-4K,4029.8592714738775,10552.82603937601,4002.3179123047194,11235.613721534904,12562.776144866519,9796.331527268949
matrix-4M,14.76056026336543,41.731576796970025,14.599406197333172,41.654266824085305,43.02468988299324,34.849093423117914
membench-1K-RO-R,11.88500198866914,11.873568230412276,11.795801531969717,11.869620881640216,14.92882393582086,20.03564957900426
membench-1K-RO-S,11.884901779795072,11.872806368502618,11.79686173843774,11.86867909027156,14.932565049771423,20.041201990677173
membench-1K-RW-R,4.4576294408106545,7.915482297611162,4.4241185782645855,7.912174212180628,14.936065346947244,19.998044786792782
membench-1K-RW-S,4.457650159768861,7.91611441728846,4.423850040631812,7.913412541375117,14.934044353390046,19.991407648982065
membench-1M-RO-R,2.113017276701274,1.629822656955235,1.69858412113141,1.5027195257441273,2.085915712585311,2.441307160280762
membench-1M-RO-S,4.228943181524877,3.3202418712696127,3.9884222182508733,3.1662906807815543,6.17705590683107,5.021953746090861
membench-1M-RW-R,1.4182720686963894,1.2746391511617854,1.152031786218051,1.2885382720098002,1.8854276181930447,2.5625970715195288
membench-1M-RW-S,3.7802658242186205,2.9385315957261735,3.4945149045036272,2.801756786325792,5.273358400275865,4.6777587113696955
membench-4M-RO-R,0.15207581587724744,0.19523999413868984,0.14071484514159688,0.17942960983307388,0.2301531726902547,0.1812903749485161
membench-4M-RO-S,0.7058449372280333,2.4248728304502465,0.6299814222858118,2.0144994045650906,1.492349913198103,4.246879931332492
membench-4M-RW-R,0.1450280249392954,0.18951909117119112,0.13456851124440677,0.17183153306581683,0.22900194050092088,0.17947152882649264
membench-4M-RW-S,0.6252644137314116,1.5008836995974255,0.4810618562454629,1.3553806170813016,1.4640198520289731,3.6856330847504015
pntrch-4K,279.3928104436285,773.8777047067479,277.12661185685477,815.5385599172752,843.5510111093831,1053.4272506224622
pntrch-4M,0.2700828336961272,0.791742863565567,0.2679610794570921,0.7920639205610019,1.0148986009583056,1.4381310815112005
puwmod-4K,18709.9642615774,35919.98421069177,18547.45884223171,35863.73348178057,45702.325222492276,79401.36533174082
puwmod-4M,19.03183842594222,37.414736950664256,18.856854576243933,37.382727130691116,47.51072076988449,87.53314316762435
rspeed-4K,53498.403844058616,136629.64552691436,52959.45904804554,136940.3600303121,171090.58005379437,140909.25768147424
rspeed-4M,56.069853394657954,168.75376308360455,54.88332701550384,168.47017273530935,198.18418048629317,188.11147297777194
tblook-4K,19232.011529008505,59599.439577842466,19025.705169697823,60082.12458349695,73168.13522355782,82280.65755095085
tblook-4M,19.589798006080102,63.66390732325725,19.333508827323993,62.5012573364569,73.65013990111893,86.65432075235475
tinyrenderer-boggie,3.2508907221833545,6.327494421130616,3.1674550597095608,6.231748891075363,5.669385253405165,6.255116259906406
tinyrenderer-diablo,2.850456719948205,5.719011102653788,2.810369156776637,5.68037325148235,5.01212868312935,5.6819673406730375
ttsprk-4K,67723.00597293641,138148.80000317306,67350.74009369145,137949.1575933522,172158.44300169378,242422.25519398708
ttsprk-4M,183.358916522343,390.4910125105879,180.59668785140366,388.7248201869689,483.1691639665602,645.5043330255228
