instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr
IN_15_5,QP-LR-UB,1772,15,622,4.471753866305718,3.269301952282374,3.2030449059515043
IN_60_4,ILP-IDLE-MIN,300010,60,2760,4.016634094347989,4.6116122405068865,3.159369795681045
IN_5_8,ILP-SM-II,1,5,112,4.123235354441054,3.632127093515676,3.0993249720761877
IN_50_7,QP-LR-UB,300005,50,2014,3.468052892164829,2.967586866940357,2.89588576119118
IN_55_8,HEUR,300269,55,0,0.0,0.0,0.0
IN_30_8,QP-LR-UB,300002,30,1336,4.022022274809855,3.2760376600542886,3.1024195693761554
IN_55_4,ILP-SM-I,300017,55,2298,2.9794213026127916,3.8636736285072124,2.964718233044966
IN_60_1,HEUR,300317,60,0,0.0,0.0,0.0
IN_60_3,ILP-SM-II,300009,60,2396,3.1785795991882986,4.214469620147939,3.038261562737896
IN_35_8,ILP-SM-I,300012,35,1368,2.878482280111482,3.9006332898492717,3.0006212971949617
IN_60_4,ILP-SM-II,300009,60,2723,2.894340599187906,3.5256355141751854,2.875994170619963
IN_25_9,QP-LR-UB,300002,25,1139,3.3700526464011586,2.9937824825929185,2.7864054201382293
IN_35_8,HEUR,48464,35,1408,3.9342553351999174,5.056827029406317,3.0609178241427597
IN_50_1,QP-LR-UB,300003,50,2132,4.079712406605219,3.201949947912827,3.1395661116085747
IN_45_10,HEUR,9276079,45,2069,3.8677391304773985,5.141694241590561,3.158238002433718
IN_55_8,ILP-SM-II,300007,55,2497,3.114143440394525,3.591870008830655,3.075737839330584
IN_35_5,ILP-SM-II,300003,35,1453,2.714712349529544,3.4191192815526,2.8410502182813024
IN_30_9,ILP-IDLE-MAX,9948,30,1370,4.93597813011521,3.705824691345298,3.4029374857288968
IN_20_6,ILP-IDLE-MAX,395,20,960,4.81008333278199,3.795902052736282,3.4431645544129728
IN_5_2,ILP-IDLE-MAX,1,5,0,0.0,0.0,0.0
IN_20_1,ILP-SM-II,8126,20,789,3.4388536576272513,3.9725324773788273,3.3404393519839504
IN_25_5,HEUR,9434,25,1150,4.157886937817802,5.185767270741255,3.3700375073702693
IN_60_2,ILP-IDLE-MIN,300008,60,2470,4.0485667825831095,5.037711446258534,3.5119229019545424
IN_45_9,ILP-IDLE-MIN,300006,45,2080,3.9419759881396135,4.741819324562934,3.192793398029572
IN_30_1,ILP-IDLE-MIN,12489,30,1460,4.199534298602033,5.199541018954358,3.4035567268907827
IN_60_8,ILP-SM-II,300009,60,2561,3.20437838414461,3.7325021696179075,3.101727925917788
IN_5_7,ILP-SM-II,2,5,231,4.413692359970166,3.438793819893667,3.0411706602282247
IN_50_9,QP-LR-UB,300026,50,2197,3.6365384505480125,2.927677550453136,2.832095319557857
IN_20_8,ILP-SM-II,13075,20,899,3.2121098859952046,3.973214226969864,3.018942773586594
IN_20_2,QP-LR-UB,17409,20,817,3.8070602555590938,3.3104498500612665,3.1814939941101947
IN_15_9,ILP-IDLE-MIN,142,15,685,4.797573530104231,5.3220463172100265,3.6331215835639212
IN_60_7,ILP-SM-II,300021,60,2448,2.8751877736741185,3.19375068616993,2.873855569462582
IN_30_5,ILP-SM-II,300002,30,1333,3.1549342790659325,3.8938687391031186,3.225041358494508
IN_50_1,HEUR,300233,50,0,0.0,0.0,0.0
IN_55_8,ILP-IDLE-MIN,300011,55,2510,4.324657398865992,5.330134733956601,3.534746364748032
IN_35_6,HEUR,63316,35,1449,4.027406929484729,4.778209959437169,3.249642326468723
IN_25_6,ILP-SM-II,31089,25,1090,3.19257796529783,4.171632823705879,3.2431357650444186
IN_5_7,ILP-SM-I,4,5,231,4.413692359970166,3.438793819893667,3.0411706602282247
IN_10_8,ILP-IDLE-MAX,32,10,460,5.260456514358521,4.06972702837784,3.496736961668082
IN_30_7,ILP-SM-II,300002,30,1442,2.815296561163047,3.429096862910678,2.7759923417404293
IN_30_7,HEUR,26682,30,1450,4.569772465547611,5.396200094314772,2.8486401326341677
IN_45_8,ILP-SM-I,300014,45,1997,2.6498400029316547,3.375754748122945,2.652169986983858
IN_60_3,ILP-IDLE-MIN,300010,60,2450,3.8802040935657462,5.319009422292989,3.448277346663785
IN_55_9,QP-LR-UB,300008,55,2249,3.5794178078836865,3.1030388208707564,2.98576980711809
IN_10_1,ILP-SM-II,66,10,371,3.3709487152405275,4.6283481000757,2.975688527759527
IN_25_6,ILP-SM-I,74011,25,1090,3.19257796529783,4.171632823705878,3.2431357650444186
IN_20_7,HEUR,2410,20,816,4.0548049000341715,4.778896084642502,3.293988897247212
IN_20_1,ILP-IDLE-MIN,929,20,820,4.286487833937493,4.860138236463343,3.479437883459795
IN_20_3,ILP-SM-I,11077,20,914,2.9130515692774783,3.722751098029024,2.9417692879287087
IN_55_6,QP-LR-UB,300005,55,2395,3.7319959236034115,3.171333441947718,3.0559745557916704
IN_25_3,ILP-SM-II,40791,25,1093,2.735845476998524,3.456126556331678,2.7968069121208385
IN_5_6,ILP-IDLE-MAX,1,5,180,4.507833334472444,3.8581330018301805,2.9802692346202
IN_5_3,HEUR,13,5,0,0.0,0.0,0.0
IN_20_6,QP-LR-UB,75512,20,959,4.1049583331526565,3.3408220947565512,3.1585429478135887
IN_55_5,ILP-SM-I,300018,55,2193,2.833150003078309,3.6146914163273913,2.9693715957216176
IN_60_4,ILP-IDLE-MAX,300007,60,2760,4.94580438511743,3.6581033614843714,3.3402763905025377
IN_5_3,ILP-IDLE-MIN,1,5,0,0.0,0.0,0.0
IN_60_4,ILP-SM-I,300016,60,2738,2.8609710421251213,3.5642058855720893,2.9117948755915455
IN_60_4,HEUR,300324,60,0,0.0,0.0,0.0
IN_10_6,HEUR,212,10,308,4.428281286964193,4.265221803709027,3.2829659976898697
IN_55_1,ILP-SM-I,300015,55,2627,3.2205969799267473,4.264611783733425,3.375472847911641
IN_50_6,ILP-SM-II,300009,50,2082,3.247789494015954,3.9047740775570063,3.1666544798419296
IN_55_9,ILP-IDLE-MAX,145728,55,2249,4.818204476422734,3.7064582951350475,3.371081945932462
IN_45_9,QP-LR-UB,300003,45,2080,3.208682695418023,2.859936795046295,2.7317558286551593
IN_20_5,ILP-SM-II,13822,20,951,3.189989695966858,3.8424311708560004,3.12355892251283
IN_25_1,ILP-IDLE-MIN,3345,25,1070,3.87127104191301,4.7121252612809155,3.5554045229943285
IN_45_4,HEUR,9061764,45,2153,4.3121666972077,5.504707791804047,3.199346057205088
IN_50_3,ILP-IDLE-MAX,24098,50,2270,5.112405290766435,3.671808708775084,3.3500401778626823
IN_40_7,ILP-IDLE-MAX,9936,40,1930,5.202652843867868,3.810893886633811,3.4221462611982876
IN_35_3,ILP-IDLE-MIN,56440,35,1443,4.417124186106797,5.502850884120053,3.547879357798325
IN_35_4,ILP-IDLE-MAX,300004,35,1470,4.932877599919329,3.5248280326367336,3.2981666162468124
IN_5_5,QP-LR-UB,2,5,0,0.0,0.0,0.0
IN_50_9,ILP-SM-I,300013,50,2185,2.8341131256244303,3.6567243069811175,2.83971463750404
IN_60_6,ILP-IDLE-MAX,26381,60,2730,5.024234436201307,4.071636170068236,3.4677501276013625
IN_30_1,HEUR,23950,30,1442,3.9776712654694304,5.3498919373144025,3.105414378059982
IN_40_9,ILP-IDLE-MIN,148031,40,1676,4.3306369618823135,5.186980000350306,3.785246008079597
IN_15_7,ILP-IDLE-MIN,213,15,820,3.8278415148578038,5.262571911219381,3.3839801097916022
IN_25_1,HEUR,8599,25,1067,4.560112205328785,5.602510885647789,3.1602460364269453
IN_35_7,HEUR,25378,35,1556,3.6425031879050715,4.401286034003754,2.971229027854931
IN_5_5,ILP-IDLE-MIN,1,5,0,0.0,0.0,0.0
IN_35_1,ILP-IDLE-MIN,69382,35,1430,4.320265790684656,5.518055601978688,3.3887900346270916
IN_5_2,ILP-SM-I,2,5,0,0.0,0.0,0.0
IN_50_9,ILP-SM-II,300005,50,2179,2.915208133670809,3.0792704222854113,2.7972809467404205
IN_60_8,ILP-IDLE-MAX,61681,60,2590,5.131776103849116,3.869773103450774,3.576630981716202
IN_20_3,HEUR,3397,20,964,4.1402268618652505,4.869027736467553,3.0035108284274337
IN_40_5,ILP-IDLE-MIN,125607,40,1717,3.957889564664558,5.091048201675376,3.4586878298026447
IN_15_4,ILP-SM-I,410,15,613,3.7926865796099847,4.393101422287902,3.5912862270096357
IN_30_5,HEUR,22311,30,1368,4.202678810810521,5.239493028325658,3.2594988448195545
IN_30_5,ILP-SM-I,300012,30,1188,3.243781024511278,3.903643783887742,3.1692353109786655
IN_45_10,ILP-SM-I,300028,45,2032,3.0370579579242185,4.074889383572657,3.0746202633313215
IN_5_10,ILP-IDLE-MIN,1,5,230,4.055043479670649,5.184978087442336,3.5513611835365713
IN_35_10,ILP-IDLE-MAX,3166,35,1589,4.921238988994053,3.562865606851679,3.185742307625983
IN_40_5,ILP-SM-I,300016,40,1700,2.909168599234071,3.6809026229066997,3.0053447996315827
IN_20_5,ILP-SM-I,4275,20,951,3.189989695966858,3.8424311708560004,3.1235589225128297
IN_10_1,ILP-SM-I,111,10,371,3.3709487152405275,4.6283481000757,2.975688527759528
IN_45_3,ILP-SM-II,300007,45,1900,2.8719736965392766,3.42919429628849,2.8094367707892145
IN_15_8,QP-LR-UB,1627,15,744,4.256960059483846,3.1912332358842894,3.0611934479166867
IN_10_7,ILP-SM-I,113,10,391,4.255243862947313,4.446658983130753,3.1654281823529704
IN_25_2,ILP-SM-II,33974,25,1150,2.838226098819919,3.7380600967578523,2.947517158103301
IN_50_6,ILP-IDLE-MIN,300007,50,2090,4.334545498216552,5.602326877194186,3.6545995930246336
IN_25_6,QP-LR-UB,129589,25,1047,3.786018338949855,3.3411626898886007,3.203451009306708
IN_10_4,ILP-IDLE-MAX,44,10,469,4.536574492429165,3.659557421835306,3.171048553050326
IN_45_6,ILP-SM-II,300005,45,1858,2.9539623815285903,3.929524981836085,3.0704008472706605
IN_55_7,HEUR,300271,55,0,0.0,0.0,0.0
IN_20_4,ILP-IDLE-MAX,2391,20,840,4.94741668491846,3.5586572594613903,3.276171579574422
IN_45_2,ILP-IDLE-MAX,61157,45,1900,4.854842113570163,3.535948035577018,3.3249907794112836
IN_60_2,HEUR,300349,60,0,0.0,0.0,0.0
IN_5_2,QP-LR-UB,2,5,0,0.0,0.0,0.0
IN_15_3,ILP-SM-II,1164,15,652,2.755462696458866,3.4040544679232276,2.754313058479486
IN_40_2,QP-LR-UB,300003,40,1574,3.8853602577162825,3.031799315331015,2.973297104373899
IN_30_8,HEUR,24502,30,1344,4.361340782951426,5.351899776451345,3.1962808546682426
IN_45_4,ILP-SM-I,300049,45,2110,2.971675939409545,3.7219541196000736,3.054725319956719
IN_35_10,ILP-IDLE-MIN,91187,35,1587,3.8511446720774067,4.6260978268764585,3.0106415218295077
IN_50_3,QP-LR-UB,300006,50,2270,3.975651994308186,3.168459110013937,3.0535235553725575
IN_20_5,HEUR,3051,20,960,3.9605979535383047,5.422878892281391,3.1927172971806734
IN_45_5,HEUR,1603579,45,2039,4.067519601945784,4.9615638872594445,3.097132438599647
IN_30_8,ILP-IDLE-MIN,8037,30,1350,4.319096363319291,5.425150224849438,3.5642140786516117
IN_25_1,ILP-IDLE-MAX,5905,25,1070,4.9299065626531,4.026632582768812,3.5192849117652147
IN_35_9,HEUR,52907,35,1570,4.354879010008399,5.697237069596588,3.1952748598256497
IN_40_6,HEUR,165737,40,2018,4.153615788256594,5.184627925555291,3.0989958144710124
IN_35_1,ILP-IDLE-MAX,300004,35,1430,5.270601432015012,3.8871002973141793,3.606327731293731
IN_50_7,ILP-SM-I,300014,50,2042,2.7550721113713315,3.6558174622378172,2.8553466558179674
IN_35_4,ILP-SM-II,300027,35,1463,2.845700686500997,3.5345304575964906,2.9717526770797913
IN_35_4,QP-LR-UB,300003,35,1377,4.083789135272405,3.1477382705064043,3.061935351999509
IN_25_1,ILP-SM-I,300014,25,1070,2.9624672909345584,4.096143756391316,3.086322063897384
IN_35_10,ILP-SM-I,300025,35,1574,2.8700125932693483,3.868765227378539,2.896006472777683
IN_15_8,HEUR,782,15,743,3.863386707584063,4.873546427867493,3.23011707020857
IN_50_2,ILP-IDLE-MIN,300007,50,2100,4.27308096341434,5.346995189477141,3.4211185648672484
IN_55_2,ILP-IDLE-MIN,300011,55,2540,4.274035461804294,5.056234026114819,3.2863576200378266
IN_60_6,QP-LR-UB,300133,60,2724,4.609241768335685,3.4930664432179146,3.3495337403773267
IN_35_1,QP-LR-UB,300003,35,1430,3.6458671486356877,3.2483746651150027,3.1391861124839093
IN_10_8,ILP-SM-II,181,10,448,4.230782624787611,4.688716322996078,3.394091093700832
IN_30_3,HEUR,23359,30,1477,4.171436252499987,5.221762035641964,3.0122641039440192
IN_30_3,QP-LR-UB,300003,30,1473,4.257953047902392,3.1719542250488133,3.110858124249544
IN_10_7,ILP-IDLE-MAX,28,10,410,5.581512212716952,4.566415588546054,3.456194089564281
IN_10_2,ILP-SM-II,47,10,485,3.242918353178063,5.0013133587249685,2.781356603851854
IN_50_3,ILP-IDLE-MIN,300008,50,2270,3.8366079661420787,4.7855883674010435,3.48740705317625
IN_60_5,ILP-IDLE-MAX,19437,60,2520,5.23561509733517,4.185993356245243,3.5834968713069904
IN_25_1,QP-LR-UB,300003,25,1069,3.8830747729985515,3.292067153452128,3.1490867700062486
IN_55_9,ILP-SM-II,300028,55,2230,2.851368915683693,3.3182054964024026,2.8879700341859866
IN_10_4,HEUR,176,10,453,3.638148956317851,4.385807307960188,2.9577822621982466
IN_40_10,HEUR,130956,40,1684,4.0816094566202725,4.117209129774659,2.8374121826618297
IN_25_10,ILP-SM-I,300013,25,1091,2.9413181818886236,3.820137514023401,2.9829655278811673
IN_25_6,HEUR,9760,25,1089,4.3872844313536215,5.23700682605568,3.3250185911545236
IN_50_6,QP-LR-UB,300003,50,2073,4.110885196125678,3.3089753182646686,3.238390337367684
IN_20_9,ILP-SM-I,2205,20,778,3.2771666633204006,3.8858069070018058,3.1093381674180423
IN_40_3,ILP-IDLE-MIN,300005,40,1750,4.002200019240379,5.066155192454619,3.3471966451472723
IN_5_5,ILP-SM-II,1,5,0,0.0,0.0,0.0
IN_25_8,QP-LR-UB,267383,25,1040,3.566240413587254,3.2905879720941047,3.1347130858052954
IN_40_9,QP-LR-UB,300003,40,1665,3.484041663658406,3.1100024987322503,2.920703748493917
IN_25_8,ILP-IDLE-MAX,13338,25,1040,5.106528882180842,3.9159522845363965,3.463046664275501
IN_55_5,ILP-IDLE-MAX,52554,55,2200,4.951368195170706,3.8502075278951766,3.4686085424444753
IN_55_6,HEUR,300283,55,0,0.0,0.0,0.0
IN_60_1,QP-LR-UB,300005,60,2791,4.408148945704208,3.4152060442624896,3.2966012466475103
IN_15_1,QP-LR-UB,2139,15,643,4.310378862240098,3.3715587867261787,3.205085330221328
IN_50_1,ILP-SM-I,300016,50,2243,2.938022143169578,4.034331252069403,3.0830827007989843
IN_15_7,HEUR,787,15,803,4.748548833480696,5.961116114246664,3.3796566456681716
IN_10_5,ILP-SM-II,232,10,338,3.5252353065154134,3.925093100364594,3.332339535621642
IN_35_3,HEUR,50378,35,1447,4.207144866205495,5.225921561624244,3.1038183045319654
IN_50_9,ILP-IDLE-MAX,25001,50,2210,4.871140248877969,3.597817287667514,3.241109923238749
IN_50_2,QP-LR-UB,300007,50,2055,4.056766680855127,3.2119180764029776,3.1157454616988405
IN_15_2,HEUR,752,15,690,4.611478324320869,6.142283132011865,3.4058454647562426
IN_20_6,ILP-SM-II,11258,20,944,3.091239583911374,4.772204834212052,3.250143309348915
IN_45_6,ILP-SM-I,300016,45,1802,3.075161292179618,3.8311303372705496,3.0881341055302927
IN_15_10,ILP-SM-I,354,15,684,3.432071420912232,3.95294878487372,3.0848602134138554
IN_30_6,QP-LR-UB,300003,30,1532,4.014705153535574,2.9910483897259126,2.9503022483182164
IN_30_9,ILP-SM-II,247580,30,1367,2.900248180677856,4.013973758645747,3.2059511952660595
IN_50_4,ILP-SM-I,300028,50,2664,2.8364157327998445,3.4824090654145974,2.860171693934227
IN_10_8,ILP-SM-I,72,10,448,4.230782624787611,4.688716322996078,3.394091093700832
IN_5_8,ILP-SM-I,4,5,112,4.123235354441054,3.632127093515676,3.0993249720761877
IN_20_2,ILP-IDLE-MIN,755,20,830,4.387819305995861,5.464717151664162,3.438953058535633
IN_25_7,ILP-IDLE-MIN,5135,25,1120,4.48600895700178,5.577686181152053,3.3563996062177113
IN_10_3,QP-LR-UB,211,10,500,4.212980029731989,3.5116204160645013,3.2666338778221315
IN_30_10,ILP-IDLE-MAX,515,30,1200,5.146258371248841,4.309549365086059,3.414669488835398
IN_60_3,HEUR,300328,60,0,0.0,0.0,0.0
IN_20_6,ILP-SM-I,10228,20,944,3.091239583911374,4.772204834212052,3.2501433093489145
IN_10_1,ILP-IDLE-MIN,69,10,390,3.799538529339509,3.9725212973439157,3.196726901864661
IN_20_10,QP-LR-UB,56058,20,903,3.8291630761292965,2.94579842871319,2.875737232490305
IN_40_7,HEUR,208272,40,1929,3.622113993547741,4.87913770211966,3.095567616909626
IN_45_3,ILP-IDLE-MIN,300006,45,1900,3.7758631402254106,4.325925429765974,3.2530206982127234
IN_20_1,HEUR,2942,20,814,4.159207365225728,5.670024829795957,3.5496860570750233
IN_35_2,ILP-IDLE-MIN,34430,35,1370,4.231167907871469,5.248139224215245,3.576759577587888
IN_30_7,ILP-IDLE-MIN,17838,30,1450,3.5640000193283474,4.881556892565849,3.030929816127923
IN_5_10,ILP-SM-I,3,5,214,4.055043479670649,5.184978087442336,3.5513611835365713
IN_60_6,HEUR,300327,60,0,0.0,0.0,0.0
IN_10_6,ILP-IDLE-MIN,75,10,320,4.722875022003427,4.544195614561671,3.6227310212482706
IN_55_10,QP-LR-UB,300024,55,2565,4.012651172904081,3.4348128065357373,3.2951975845078163
IN_40_2,ILP-SM-II,300004,40,1576,2.7451490877670532,3.6206275073368452,2.845268103624168
IN_5_4,ILP-IDLE-MAX,1,5,150,4.486333296298981,4.787675176795721,3.294812911848227
IN_15_9,ILP-SM-I,549,15,649,3.5895735229639447,5.322264854550427,3.1307091910071017
IN_30_6,ILP-SM-I,300011,30,1472,2.7043076934054113,3.2269938727982437,2.800141122365103
IN_15_2,QP-LR-UB,5336,15,690,4.516724628555602,3.5817893249082613,3.367405410908876
IN_50_10,HEUR,300229,50,0,0.0,0.0,0.0
IN_5_1,ILP-IDLE-MIN,1,5,220,5.341590951383114,3.6740297906927086,3.114652017093788
IN_45_1,ILP-IDLE-MIN,300006,45,2029,4.05940395327184,4.831395235249532,3.381546967887908
IN_35_5,ILP-IDLE-MAX,5317,35,1460,4.901499992629437,3.586203349351484,3.235145480906422
IN_60_5,ILP-SM-I,300015,60,2520,3.168694452953244,3.965591432457482,3.2166049066346383
IN_35_2,ILP-SM-I,300013,35,1355,3.0027080479111983,3.7034429519337024,3.109262186730115
IN_60_6,ILP-IDLE-MIN,300010,60,2730,4.322219776102911,5.625297309138864,3.6849483992664704
IN_50_8,ILP-SM-I,300015,50,2170,2.869258082338742,3.765647458789515,3.0367098850131513
IN_55_7,ILP-SM-II,300006,55,2466,2.917100809622676,3.6676795066551455,2.8745082110517384
IN_25_3,ILP-IDLE-MAX,9141,25,1100,4.545981850840828,3.5815302159247353,3.168295998751209
